 * Running on http://0.0.0.0:9191/ (Press CTRL+C to quit)
10.28.28.85 - - [02/Jul/2018 01:19:49] "GET /reports/ HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/packaged/patternfly_bootstrap_treeview/js/bootstrap-treeview.min.js HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/packaged/jquery/jquery.min.js HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/packaged/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/packaged/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/packaged/patternfly/js/patternfly.min.js HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/js/ara.js HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:50] "GET /static/packaged/patternfly/css/patternfly.min.css HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:51] "GET /static/packaged/patternfly/css/patternfly-additions.min.css HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:51] "GET /static/packaged/patternfly_bootstrap_treeview/css/bootstrap-treeview.min.css HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:51] "GET /static/css/pygments.css HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:51] "GET /static/css/ara.css HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /static/images/logo-header.svg HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /static/packaged/patternfly/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /static/packaged/patternfly/fonts/OpenSans-Bold-webfont.woff2 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /static/packaged/patternfly/fonts/OpenSans-Regular-webfont.woff2 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /static/packaged/patternfly/fonts/OpenSans-Semibold-webfont.woff2 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /static/packaged/patternfly/fonts/PatternFlyIcons-webfont.ttf HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /reports/ajax/parameters/195988bd-8fa7-461a-839a-6366fab87ce1.txt?_=1530465591148 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:52] "GET /reports/ajax/stats/195988bd-8fa7-461a-839a-6366fab87ce1.txt?_=1530465591149 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:53] "GET /reports/ajax/plays/195988bd-8fa7-461a-839a-6366fab87ce1.txt?_=1530465591150 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:53] "GET /reports/ajax/results/195988bd-8fa7-461a-839a-6366fab87ce1.txt?_=1530465591151 HTTP/1.1" 200 -
10.28.28.85 - - [02/Jul/2018 01:19:57] "GET /result/423170de-e175-4a1d-b409-c19c0a35f014/ HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:09] "GET /reports/ HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:10] "GET /static/packaged/jquery/jquery.min.js HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:10] "GET /static/packaged/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:10] "GET /static/packaged/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:10] "GET /static/packaged/patternfly_bootstrap_treeview/js/bootstrap-treeview.min.js HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:10] "GET /static/packaged/patternfly/js/patternfly.min.js HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:10] "GET /static/js/ara.js HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:11] "GET /static/packaged/patternfly/css/patternfly.min.css HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:11] "GET /static/packaged/patternfly/css/patternfly-additions.min.css HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:11] "GET /static/packaged/patternfly_bootstrap_treeview/css/bootstrap-treeview.min.css HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:11] "GET /static/css/pygments.css HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:11] "GET /static/css/ara.css HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:13] "GET /static/images/logo-header.svg HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:13] "GET /static/packaged/patternfly/fonts/PatternFlyIcons-webfont.ttf HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:14] "GET /static/packaged/patternfly/fonts/OpenSans-Regular-webfont.woff2 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:14] "GET /static/packaged/patternfly/fonts/OpenSans-Bold-webfont.woff2 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:14] "GET /static/packaged/patternfly/fonts/OpenSans-Semibold-webfont.woff2 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:14] "GET /static/packaged/patternfly/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:14] "GET /reports/ajax/parameters/bbbd9ddf-15f8-4c93-a324-d40e6db892cd.txt?_=1530788891467 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:14] "GET /reports/ajax/stats/bbbd9ddf-15f8-4c93-a324-d40e6db892cd.txt?_=1530788891468 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/plays/bbbd9ddf-15f8-4c93-a324-d40e6db892cd.txt?_=1530788891469 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/results/bbbd9ddf-15f8-4c93-a324-d40e6db892cd.txt?_=1530788891470 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/parameters/6dcb6d2d-e1f8-4916-a78d-6fffde3326b9.txt?_=1530788891471 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/stats/6dcb6d2d-e1f8-4916-a78d-6fffde3326b9.txt?_=1530788891472 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/plays/6dcb6d2d-e1f8-4916-a78d-6fffde3326b9.txt?_=1530788891473 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/results/6dcb6d2d-e1f8-4916-a78d-6fffde3326b9.txt?_=1530788891474 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/parameters/c7ad04d8-f7ea-4c1a-b7b2-940831d11f68.txt?_=1530788891475 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/stats/c7ad04d8-f7ea-4c1a-b7b2-940831d11f68.txt?_=1530788891476 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/plays/c7ad04d8-f7ea-4c1a-b7b2-940831d11f68.txt?_=1530788891477 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/results/c7ad04d8-f7ea-4c1a-b7b2-940831d11f68.txt?_=1530788891478 HTTP/1.1" 200 -
10.1.69.80 - - [05/Jul/2018 19:08:15] "GET /reports/ajax/parameters/d2ac7296-26d6-4918-89dd-3fdb6f8e10ed.txt?_=1530788891479 HTTP/1.1" 200 -
